list_price,price_reduced_amount,description.year_built,description.baths_3qtr,description.sold_price,description.baths_full,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.garage,description.stories,description.beds,description.type,central_air,dishwasher,fireplace,forced_air,hardwood_floors,washer_dryer,basement,single_story,garage_1_or_more,garage_2_or_more,dining_room,two_or_more_stories,shopping,family_room,central_heat,laundry_room,recreation_facilities,view,community_outdoor_space,city_view,community_security_features,city_mean_price,state_mean_price
2395000.0,155000.0,2018,0.0,2300000.0,2.0,1.0,251094.94678872835,1494.0,3.0,condo,2.0,1.0,3.0,condos,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1377156.7810650887,1377156.7810650887
284500.0,0.0,1965,0.0,270000.0,2.0,0.0,8276.0,1486.0,2.0,Unknown,0.0,1.0,3.0,single_family,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,235423.44827586206,235423.44827586206
415000.0,0.0,2016,0.0,410000.0,2.0,0.0,8202.0,2165.0,2.0,Unknown,2.0,1.0,4.0,single_family,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,247748.45360824742,296531.85185185185
25000.0,0.0,1968,0.0,27225.0,2.0,0.0,251094.94678872835,1380.0,2.0,Unknown,0.0,2.0,2.0,single_family,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39280.08275862069,41743.11392405063
649999.0,25001.0,2019,0.0,645000.0,3.0,0.0,6970.0,2334.0,3.0,Unknown,3.0,1.0,4.0,single_family,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,431437.2951807229,431437.2951807229
160000.0,5000.0,1920,0.0,160000.0,1.0,0.0,6534.0,970.0,1.0,Unknown,0.0,1.0,2.0,single_family,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,256052.60625,254681.5864197531
299000.0,0.0,1953,0.0,265000.0,2.0,0.0,4051.0,2144.0,2.0,Unknown,0.0,1.0,3.0,single_family,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,625508.8529411765,616922.8857142857
618000.0,0.0,2018,0.0,620000.0,4.0,1.0,9583.0,5526.0,5.0,Unknown,2.0,3.0,6.0,single_family,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,513855.7971014493,534219.5266272189
490000.0,0.0,1979,0.0,500100.0,2.0,0.0,6199.0,1578.0,2.0,Unknown,2.0,1.0,4.0,single_family,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,529104.2348993289,516039.8231707317
0.0,0.0,1968,0.0,366100.0,1.8874299001504582,0.0,251094.94678872835,1933.8485593336065,0.0,Unknown,0.0,1.0,0.0,land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418412.38095238095,416472.2580645161
